25.6875,1441131217627
24.9375,1442433308740
24.9375,1442433309092
24.9375,1442433309164
24.9375,1442433309182
24.9375,1442433309747
24.9375,1442433310094
24.9375,1442433310150
24.9375,1442433310179
24.9375,1442433310752
24.9375,1442433311098
24.9375,1442433311162
24.9375,1442433311179
24.9375,1442433311760
24.9375,1442433312102
24.9375,1442433312160
24.9375,1442433312180
24.9375,1442433317115
24.9375,1442433317175
-0.0625,1442433317192
24.9375,1442433317779
24.9375,1442433318120
24.9375,1442433318182
24.9375,1442433318203
24.9375,1442433318789
24.9375,1442433319124
24.9375,1442433319184
24.9375,1442433319206
24.9375,1442433319793
24.9375,1442433320126
24.9375,1442433320205
24.9375,1442433320222
24.9375,1442433320797
24.9375,1442433321132
